    number     Model      flag         y         k       L_H       L_L       c_H       c_L       V_H       V_L      V_HL
        10         3         1    0.1134    0.0999    0.2005    0.6757    0.0707    0.1046 2240.5582 2423.1652    0.9246
        10         3         1    0.1140    0.0994    0.2003    0.6759    0.0708    0.1055 2386.7169 2584.8764    0.9233
        10         3         1    0.1146    0.0989    0.2001    0.6760    0.0710    0.1065 2553.2328 2769.0945    0.9220
        10         3         1    0.1153    0.0983    0.1999    0.6762    0.0711    0.1074 2744.6746 2980.8720    0.9208
        10         3         1    0.1159    0.0978    0.1997    0.6764    0.0712    0.1084 2967.0988 3226.9041    0.9195
        10         3         1    0.1165    0.0973    0.1994    0.6765    0.0713    0.1093 3228.6892 3516.2396    0.9182
        11         3         1    0.0289    0.0540    0.1526    0.6937    0.0284    0.0138-3181.0952-2752.1716    1.1558
        11         3         1    0.0400    0.1378    0.1558    0.5832    0.0356    0.0132  255.1653  209.2005    1.2197
        11         3         1    0.0406    0.1382    0.1581    0.5866    0.0363    0.0136  258.0223  212.1359    1.2163
        11         3         1    0.0413    0.1387    0.1602    0.5898    0.0370    0.0141  260.8867  215.0998    1.2129
        11         3         1    0.0419    0.1390    0.1623    0.5929    0.0377    0.0146  263.7600  218.0930    1.2094
        11         3         1    0.0425    0.1394    0.1644    0.5959    0.0383    0.0150  266.6437  221.1160    1.2059
        11         3         1    0.0229    0.0364    0.1210    0.6310    0.0341    0.0103  278.1308  218.8589    1.2708
        11         3         1    0.0229    0.0361    0.1210    0.6310    0.0341    0.0103  278.0258  218.7520    1.2710
        11         3         1    0.0241    0.0518    0.1151    0.6289    0.0326    0.0094  276.8428  215.7143    1.2834
        11         3         1    0.0240    0.0510    0.1151    0.6289    0.0326    0.0094  277.0017  215.8566    1.2833
        11         3         1    0.0456    0.1404    0.1736    0.6088    0.0415    0.0175  281.2741  236.7097    1.1883
        11         3         1    0.0462    0.1405    0.1753    0.6111    0.0420    0.0180  284.2538  239.9303    1.1847
