    number     Model      flag        RD         g       g_N       g_I      g_hH      g_hL       p_N       p_I     eps_N     eps_I
         2         3         1    0.0308    0.0489    0.0462    0.0462    0.0027    0.0027    0.8264    0.5461    0.0273    0.0181
         2         3         1    0.0309    0.0493    0.0466    0.0466    0.0027    0.0027    0.8228    0.5437    0.0276    0.0182
         2         3         1    0.0310    0.0496    0.0470    0.0470    0.0027    0.0027    0.8192    0.5414    0.0278    0.0184
         2         3         1    0.0311    0.0500    0.0473    0.0473    0.0027    0.0027    0.8157    0.5390    0.0281    0.0186
         2         3         1    0.0312    0.0504    0.0477    0.0477    0.0027    0.0027    0.8122    0.5367    0.0283    0.0187
         2         3         1    0.0313    0.0507    0.0481    0.0481    0.0027    0.0027    0.8088    0.5345    0.0286    0.0189
         2         3         1    0.0315    0.0511    0.0485    0.0485    0.0027    0.0027    0.8054    0.5322    0.0288    0.0190
         2         3         1    0.0316    0.0515    0.0488    0.0488    0.0026    0.0026    0.8020    0.5300    0.0291    0.0192
         2         3         1    0.0317    0.0519    0.0492    0.0492    0.0026    0.0026    0.7986    0.5277    0.0293    0.0194
         2         3         1    0.0318    0.0522    0.0496    0.0496    0.0026    0.0026    0.7953    0.5255    0.0296    0.0195
         2         3         1    0.0319    0.0526    0.0500    0.0500    0.0026    0.0026    0.7920    0.5234    0.0298    0.0197
         2         3         1    0.0320    0.0530    0.0503    0.0503    0.0026    0.0026    0.7887    0.5212    0.0301    0.0199
         2         3         1    0.0321    0.0533    0.0507    0.0507    0.0026    0.0026    0.7855    0.5191    0.0303    0.0200
         2         3         1    0.0322    0.0537    0.0511    0.0511    0.0026    0.0026    0.7823    0.5169    0.0306    0.0202
         2         3         1    0.0323    0.0541    0.0515    0.0515    0.0026    0.0026    0.7791    0.5148    0.0308    0.0204
         2         3         1    0.0324    0.0545    0.0519    0.0519    0.0026    0.0026    0.7759    0.5127    0.0311    0.0205
         2         3         1    0.0325    0.0548    0.0522    0.0522    0.0026    0.0026    0.7728    0.5107    0.0313    0.0207
         2         3         1    0.0326    0.0552    0.0526    0.0526    0.0026    0.0026    0.7697    0.5086    0.0316    0.0209
         2         3         1    0.0327    0.0556    0.0530    0.0530    0.0026    0.0026    0.7666    0.5066    0.0318    0.0210
         2         3         1    0.0328    0.0559    0.0534    0.0534    0.0026    0.0026    0.7636    0.5046    0.0321    0.0212
         2         3         1    0.0329    0.0563    0.0537    0.0537    0.0026    0.0026    0.7605    0.5026    0.0323    0.0214
         2         3         1    0.0330    0.0567    0.0541    0.0541    0.0026    0.0026    0.7575    0.5006    0.0326    0.0215
         2         3         1    0.0331    0.0571    0.0545    0.0545    0.0026    0.0026    0.7546    0.4986    0.0328    0.0217
         2         3         1    0.0332    0.0574    0.0549    0.0549    0.0026    0.0026    0.7516    0.4967    0.0331    0.0219
         2         3         1    0.0333    0.0578    0.0553    0.0553    0.0025    0.0025    0.7487    0.4948    0.0333    0.0220
         2         3         1    0.0334    0.0582    0.0556    0.0556    0.0025    0.0025    0.7458    0.4928    0.0336    0.0222
         2         3         1    0.0335    0.0586    0.0560    0.0560    0.0025    0.0025    0.7429    0.4909    0.0339    0.0224
         2         3         1    0.0336    0.0589    0.0564    0.0564    0.0025    0.0025    0.7401    0.4891    0.0341    0.0225
         2         3         1    0.0337    0.0593    0.0568    0.0568    0.0025    0.0025    0.7372    0.4872    0.0344    0.0227
         2         3         1    0.0338    0.0597    0.0572    0.0572    0.0025    0.0025    0.7344    0.4853    0.0346    0.0229
         2         3         1    0.0339    0.0601    0.0576    0.0576    0.0025    0.0025    0.7317    0.4835    0.0349    0.0230
         2         3         1    0.0340    0.0604    0.0579    0.0579    0.0025    0.0025    0.7289    0.4817    0.0351    0.0232
         2         3         1    0.0341    0.0608    0.0583    0.0583    0.0025    0.0025    0.7262    0.4799    0.0354    0.0234
         2         3         1    0.0342    0.0612    0.0587    0.0587    0.0025    0.0025    0.7235    0.4781    0.0357    0.0236
         2         3         1    0.0343    0.0616    0.0591    0.0591    0.0025    0.0025    0.7208    0.4763    0.0359    0.0237
         2         3         1    0.0344    0.0620    0.0595    0.0595    0.0025    0.0025    0.7181    0.4745    0.0362    0.0239
         2         3         1    0.0345    0.0623    0.0598    0.0598    0.0025    0.0025    0.7155    0.4728    0.0364    0.0241
         2         3         1    0.0346    0.0627    0.0602    0.0602    0.0025    0.0025    0.7128    0.4711    0.0367    0.0242
         2         3         1    0.0347    0.0631    0.0606    0.0606    0.0025    0.0025    0.7102    0.4693    0.0369    0.0244
         2         3         1    0.0348    0.0635    0.0610    0.0610    0.0025    0.0025    0.7077    0.4676    0.0372    0.0246
         2         3         1    0.0349    0.0639    0.0614    0.0614    0.0025    0.0025    0.7051    0.4659    0.0375    0.0248
         2         3         1    0.0350    0.0642    0.0618    0.0618    0.0025    0.0025    0.7026    0.4643    0.0377    0.0249
         2         3         1    0.0351    0.0646    0.0622    0.0622    0.0025    0.0025    0.7000    0.4626    0.0380    0.0251
         2         3         1    0.0351    0.0650    0.0625    0.0625    0.0025    0.0025    0.6975    0.4609    0.0383    0.0253
         2         3         1    0.0352    0.0654    0.0629    0.0629    0.0025    0.0025    0.6951    0.4593    0.0385    0.0255
         2         3         1    0.0353    0.0658    0.0633    0.0633    0.0025    0.0025    0.6926    0.4577    0.0388    0.0256
         2         3         1    0.0354    0.0661    0.0637    0.0637    0.0024    0.0024    0.6902    0.4561    0.0390    0.0258
         2         3         1    0.0355    0.0665    0.0641    0.0641    0.0024    0.0024    0.6877    0.4545    0.0393    0.0260
